rate,btl_delay,cca,test_duration,flows,interval,omit,aqm,buffer_factor,trial,jfi,loss_percentage,utilization,buffer_occupancy
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,1,2,0.9391408354155384,0.1618281489819452,93.8650049176223,78.98224
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,1,3,0.9388849875738178,0.1576731930715069,93.86503635585032,79.56024
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,2,1,0.7607614936479717,0.0010629845210452,94.0747471107714,71.9456
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,2,2,0.5788127488627485,0.0017021978420064,93.99612433499568,70.0276
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,2,3,0.6213292506103902,0.0036138112518669,94.08349697963544,74.5956
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,3,1,0.6763913536410355,0.0042460217016553,94.205830329143,68.75253333333333
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,3,2,0.7466509482089406,0.0015937362641231,94.11845822717068,70.0856
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,3,3,0.7789901811216612,0.0024425961882651,94.1621055109235,74.1544
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,4,1,0.7053439932931318,0.0,94.20583017855586,71.4702
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,4,2,0.8001149756179301,0.0001060423685416,94.30192985620032,77.3672
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,4,3,0.6249581631749933,0.0001062393095511,94.12711775191065,73.634
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,5,1,0.8493714402003163,0.0023359631401168,94.17956825679966,73.8616
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,5,2,0.8853705410172515,0.0,94.12718137370396,70.1904
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,5,3,0.6632828368377282,0.0011659257016906,94.34563440920618,68.58992
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,6,1,0.6354170220089849,0.0,94.09222573140798,64.89386666666667
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,6,2,0.3883572201067191,0.0,93.99610669749887,65.6984
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,6,3,0.9241516908252796,0.0,94.16213815085374,61.95293333333333
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,7,1,0.8113855153602747,0.0,94.15342495749827,54.25291428571428
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,7,2,0.8060376296705258,0.0,94.17087990330202,51.5576
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,7,3,0.5635524417977357,0.0,94.08350949708785,58.79154285714286
100,10,bbr-bbr,120,1,0.1,180,FIFO,16,1,0.9527896406895332,0.0,93.78641894021308,32.11735
100,10,bbr-bbr,120,1,0.1,180,FIFO,16,2,0.971161143270241,0.0,93.76895334455833,32.33555
100,10,bbr-bbr,120,1,0.1,180,FIFO,16,3,0.984497469550602,0.0,93.72523541993648,31.90265
100,10,bbr-bbr2,120,1,0.1,180,FIFO,16,1,0.7166751726694113,0.0,94.17960692275524,29.9341
100,10,bbr-bbr2,120,1,0.1,180,FIFO,16,2,0.6478892615801082,0.0,94.31929943413968,29.16835
100,10,bbr-bbr2,120,1,0.1,180,FIFO,16,3,0.830640683354395,0.0,94.39807995293968,29.33935
100,10,bbr-cubic,120,1,0.1,180,FIFO,16,1,0.9869236025488046,0.5840256768235383,95.1670486515156,69.651
100,10,bbr-cubic,120,1,0.1,180,FIFO,16,2,0.9733567415907326,0.5930748139773844,95.350533637998,69.6335
100,10,bbr-cubic,120,1,0.1,180,FIFO,16,3,0.934113545252526,0.8747327187898069,95.0004478110398,68.8035
100,10,bbr-reno,120,1,0.1,180,FIFO,16,1,0.9525987693670928,0.3972623719630622,95.40294443875489,65.038
100,10,bbr-reno,120,1,0.1,180,FIFO,16,2,0.9621989547475284,0.2250986560035789,95.15827584354582,67.5465
100,10,bbr-reno,120,1,0.1,180,FIFO,16,3,0.9859660325137514,0.2407961693354129,95.6825852487164,65.908
100,10,bbr2-bbr2,120,1,0.1,180,FIFO,16,1,0.5949332594975318,0.0,94.16215748989129,27.28185
